Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,20482.96,20742.81,20087.13,20159.5,20159.5,55552169483
2022-11-03,20162.69,20382.1,20086.24,20209.99,20209.99,43228750179
2022-11-04,20208.77,21209.56,20188.02,21147.23,21147.23,64072727950
2022-11-05,21144.83,21446.89,21097.63,21282.69,21282.69,37846047609
2022-11-06,21285.06,21345.38,20920.19,20926.49,20926.49,35082693210
2022-11-07,20924.62,21053.25,20489.97,20602.82,20602.82,53510852236
2022-11-08,20600.67,20664.61,17603.54,18541.27,18541.27,118992465607
2022-11-09,18543.76,18590.46,15682.69,15880.78,15880.78,102905151606
2022-11-10,15883.16,18054.31,15834.02,17586.77,17586.77,83202283721
2022-11-11,17583.25,17650.94,16543.48,17034.29,17034.29,55871616488
2022-11-12,17036.88,17066.68,16651.78,16799.19,16799.19,29717699419
2022-11-13,16799.72,16920.77,16320.63,16353.37,16353.37,27209183682
2022-11-14,16352.03,17109.32,15872.94,16618.2,16618.2,49630243054
2022-11-15,16617.48,17051.96,16542.55,16884.61,16884.61,36599436183
2022-11-16,16884.34,16960.29,16430.11,16669.44,16669.44,33925512989
2022-11-17,16670.43,16726.44,16460.68,16687.52,16687.52,27868914022
2022-11-18,16687.91,16947.06,16564.61,16697.78,16697.78,26862218609
2022-11-19,16696.22,16797.88,16570.41,16711.55,16711.55,16106223492
2022-11-20,16712.92,16746.78,16248.69,16291.83,16291.83,21313378652
2022-11-21,16291.22,16291.22,15599.05,15787.28,15787.28,37429485518
2022-11-22,15782.3,16253.05,15656.61,16189.77,16189.77,30726828760
2022-11-23,16195.59,16638.19,16170.5,16610.71,16610.71,32958875628
2022-11-24,16611.64,16771.47,16501.77,16604.46,16604.46,26129037414
2022-11-25,16602.27,16603.32,16388.4,16521.84,16521.84,18678255976
2022-11-26,16521.58,16666.86,16416.23,16464.28,16464.28,18000008764
2022-11-27,16463.88,16594.41,16437.03,16444.63,16444.63,20443898509
2022-11-28,16440.22,16482.93,16054.53,16217.32,16217.32,27743025156
2022-11-29,16217.64,16522.26,16139.4,16444.98,16444.98,23581685468
2022-11-30,16445.48,17190.94,16445.48,17168.57,17168.57,29523576583
2022-12-01,17168.0,17197.5,16888.39,16967.13,16967.13,22895392882
2022-12-02,16968.68,17088.66,16877.88,17088.66,17088.66,19539705127
2022-12-03,17090.1,17116.04,16888.14,16908.24,16908.24,16217776704
2022-12-04,16908.17,17157.77,16903.44,17130.49,17130.49,16824520830
2022-12-05,17128.89,17378.15,16922.43,16974.83,16974.83,22209086834
2022-12-06,16975.24,17091.86,16939.92,17089.5,17089.5,19889922369
2022-12-07,17089.51,17109.38,16750.56,16848.13,16848.13,19675404389
2022-12-08,16847.35,17267.92,16788.78,17233.47,17233.47,20496603770
2022-12-09,17232.15,17280.55,17100.84,17133.15,17133.15,20328426366
2022-12-10,17134.22,17216.83,17120.68,17128.72,17128.72,12706781969
2022-12-11,17129.71,17245.63,17091.82,17104.19,17104.19,14122486832
2022-12-12,17102.5,17212.56,16899.39,17206.44,17206.44,19617581341
2022-12-13,17206.44,17930.09,17111.76,17781.32,17781.32,26634741631
2022-12-14,17782.07,18318.53,17739.51,17815.65,17815.65,25534481470
2022-12-15,17813.64,17846.74,17322.59,17364.87,17364.87,20964448341
